name,beds,address,ward,latitude,longitude
Victoria Hospital,1000,"K.R. Road, Fort, Bengaluru, Karnataka 560002",NA,12.961,77.573
Bowring and Lady Curzon Hospital,686,"1, Lady Curzon Road, Shivaji Nagar, Bengaluru, Karnataka 560001",NA,12.986,77.605
Minto Eye Hospital,300,"Chamrajpet, Bengaluru, Karnataka 560004",NA,12.961,77.573
Jayadeva Institute of Cardiovascular Sciences and Research,1150,"Bannerghatta Road, Jayanagar 9th Block, Bengaluru, Karnataka 560069",NA,12.8975,77.5946
NIMHANS,1000,"Hosur Road, Lakkasandra, Bengaluru, Karnataka 560029",NA,12.943,77.5913
Kidwai Memorial Institute of Oncology,500,"Dr. M.H. Marigowda Road, Hombegowda Nagar, Bengaluru, Karnataka 560029",NA,12.943,77.5913
St. Martha’s Hospital,500,"5, Nrupathunga Road, Bengaluru, Karnataka 560001",NA,12.971,77.585
Rajiv Gandhi Institute of Chest Diseases,470,"Someshwarapura, 1st Stage, Bengaluru, Karnataka 560029",NA,12.943,77.5913
Indira Gandhi Institute of Child Health,400,"South Hospital Complex, Dharmaram College Post, Bengaluru, Karnataka 560029",NA,12.943,77.5913
BMCRI,1500,"K.R. Road, Fort, Bengaluru, Karnataka 560002",NA,12.961,77.573
Bangalore Baptist Hospital,450,"Bellary Road, Hebbal, Bengaluru, Karnataka 560024",NA,13.0455,77.5912
HOSMAT Hospital,350,"Magrath Road, Off Richmond Road, Bengaluru, Karnataka 560025",NA,12.971,77.585
Aster RV Hospital,250,"JP Nagar, Bengaluru, Karnataka 560078",NA,12.90795,77.565063
Narayana Multispeciality Hospital,607,"Bommasandra, Bengaluru, Karnataka 560099",NA,12.8,77.7
Fortis Hospital,276,"Bannerghatta Road, Bengaluru, Karnataka 560076",NA,12.8975,77.5946
Manipal Hospital,280,"Krishnarajapura, Bengaluru, Karnataka 560066",NA,12.9698,77.7498
Columbia Asia Hospital,90,"Bellary Road, Hebbal, Bengaluru, Karnataka 560024",NA,13.0455,77.5912
Sagar Hospital,NA,"Kumaraswamy Layout, Bengaluru, Karnataka 560078",NA,12.90795,77.565063
The Bangalore Hospital,NA,"Basavanagudi, Bengaluru, Karnataka 560004",NA,13.006752,77.561737
K C General Hospital,NA,"Malleshwaram, Bengaluru, Karnataka 560003",NA,12.99563,77.56945
