Name,Type,Beds,Address,Ward,area covered,Services,Staff,Contact,Latitude,Longitude
A. D. Halli H.C.,BBMP Health Centre,630,"#4, 17th Cross, 4th Stage, 3rd Block, Basaveshwaranagar, Bangalore ? 79",105.0,106.0,,,22975671.0,,
Anjanappa Garden H.C.,BBMP Health Centre,828,"Near Balemandi, Binnypet, Bangalore",138.0,139.0,,,22975680.0,,
Audugodi H.C.,BBMP Health Centre,876,"Koramangala Road, Bangalore ? 30",146.0,147.0,,,22975870.0,12.941575,77.6087581
Avalahalli H.C.,BBMP Health Centre,942,"17th Main, Muneshwara Block, Avalahalli, Bangalore ? 85",157.0,,,,22975782.0,,
Bagalur H.C.,BBMP Health Centre,186,"Old Bagalur Layout, Bangalore",31.0,60.0,,,22975885.0,,
Bapujinagar H.C.,BBMP Health Centre,792,"2nd Main Road, Mysore Road, Near Ragavendra Road, Bangalore ? 26",132.0,134.0,,,22975793.0,,
Bhuvaneshwari Nagar H.C.,BBMP Health Centre,342,"Opp. Ganesha temple, C.V. Raman Nagar, Bangalore ? 93",57.0,58.0,,,22975884.0,,
C. T. Bed H. C.,BBMP Health Centre,984,"4th Cross, Chennamanakere, BSK 2nd Stage, Near SSM School, Bangalore ? 28",164.0,183.0,,,22975775.0,,
Gangondanahalli H.C.,BBMP Health Centre,768,"Makahamasjid corp. hospital, Chandra Layout, Bangalore",128.0,,,,,,
Govindrajnagar H.C.,BBMP Health Centre,618,"Prashanthnagar Main Road, Govindrajnagar, Bangalore ? 79",103.0,104.0,,,,,
J. P. Nagar H.C.,BBMP Health Centre,1068,"1st Phase, Sarakki, Bangalore ? 78",178.0,179.0,,,22975771.0,,
K. G. Halli H.C.,BBMP Health Centre,138,"Behind K.G. Halli PHC, Near K.G. Halli Police Station, K.G. Halli, Bangalore",23.0,30.0,,,22975779.0,,
Kodihalli H.C.,BBMP Health Centre,672,"Next to Maruthi Towers, Airport Road, Bangalore ? 08",112.0,88.0,,,22975879.0,,
Koramangala H.C.,BBMP Health Centre,888,"Lakshman Rao Nagar, Viveknagar, Bangalore ? 47",148.0,151.0,,,,,
Kumaraswami Layout H. C.,BBMP Health Centre,1086,"Opp. To Police Station, K.S. Layout, Bangalore",181.0,182.0,,,22975789.0,,
Mathikere H.C.,BBMP Health Centre,102,"B.K. Nagar, Bangalore ? 22",17.0,36.0,,,22975822.0,,
Moodalapalya H.C.,BBMP Health Centre,756,"GKW Layout & Saraswathi, Bangalore ? 40",126.0,127.0,,,22975768.0,12.9684575,77.5206743
Murphy Town H.C.,BBMP Health Centre,480,"Near Ulsoor Fish Market, Bangalore ? 08",80.0,91.0,,,,,
N. S. Palya H.C.,BBMP Health Centre,1056,"12th Cross, BTM layout, 2nd Stage, Bangalore ? 76",176.0,177.0,,,,,
Nandini Layout H.C.,BBMP Health Centre,252,"Jai Bhuvaneshwarinagar, behind KHB quarters, Nandini Layout, Bangalore ? 96",42.0,43.0,,,,,
Old Byappanahalli H.C.,BBMP Health Centre,300,"Main Road, Near Water Tank, Bangalore ? 08",50.0,59.0,,,,,
Pantharpalya H.C.,BBMP Health Centre,786,"Mysore Road main road, Nayanadahalli, Pantharapalya, Bangalore ? 26",131.0,158.0,,,22975890.0,,
Robbertson Road H.C.,BBMP Health Centre,366,"Robertson Road, Near Doddi, Frazer Town, Bangalore ? 46",61.0,78.0,,,,,
Shankar Nagar H. C.,BBMP Health Centre,264,"6th Cross, Vijayanandnagar, Mahalakshmi Layout, Bangalore ? 57",44.0,38.0,,,22975674.0,,
Sulthan Palya H.C.,BBMP Health Centre,192,"Behind Pushpanjali Theatre, Near Sulthanpalya, Bangalore",32.0,33.0,,,,,
Taskar Town H.C.,BBMP Health Centre,378,"Shivajinagar, Bundimutt, Bangalore ? 01",63.0,92.0,,,,,
Thavarekere H. C.,BBMP Health Centre,912,"1st Main Road, DRC Post, Bangalore ? 76",152.0,171.0,,,22975777.0,,
Vidyapeeta H.C.,BBMP Health Centre,966,"Vidhyapeeta Circle, Srinagar, Bangalore ? 52",161.0,163.0,,,,,
Yarabnagar H. C.,BBMP Health Centre,1080,"9th Main, BSK 2nd Stage, Bangalore",180.0,,,,,12.8953908,77.5547931
Azadnagar UFWC,BBMP Urban Family Welfare Centre,846,"Kasturba Nagar, Mysore Road, Bangalore ? 26",141.0,136.0,,,22975787.0,,
Banashankari UFWC,BBMP Urban Family Welfare Centre,0,"Near Police Station, 27th Cross, 17th Main, 2nd Stage, Banashankari, Bangalore ? 70",,,,,,,
Chellaram UFWC,BBMP Urban Family Welfare Centre,606,"Opp. Vihal Theatre, Magadi Main Road, Kamakshipalya, Bangalore ? 70",101.0,102.0,,,22975669.0,,
Cox Town UFWC,BBMP Urban Family Welfare Centre,0,"M. M. Road, Opp. Cox Town Market, Bangalore ? 05",,,,,22975881.0,,
D. J. Halli UFWC,BBMP Urban Family Welfare Centre,282,"Opp. Football Stadium, Near Ananth Theatre, Bangalore ? 45",47.0,48.0,,,22975684.0,,
Dasappa UFWC,BBMP Urban Family Welfare Centre,660,"Narasimharaja Road, Town Hall, Bangalore ? 02",110.0,119.0,,,,,
Ganganagara UFWC,BBMP Urban Family Welfare Centre,120,"3rd Main, 3rd Cross, HMT Layout, Banglore ? 32",20.0,34.0,,,22975795.0,,
Goripalya UFWC,BBMP Urban Family Welfare Centre,810,,135.0,137.0,,,22975798.0,46.3144754,11.0480288
J. J. R. Nagar UFWC,BBMP Urban Family Welfare Centre,0,"Hospital Main Road, Padarayanapura, 9th Main, Sangam circle, JJR Nagar Bus stop, Bangalore",,,,,,,
Jayanagar UFWC,BBMP Urban Family Welfare Centre,918,"9th Main, 2nd Block, Jayanagar, Bangalore -11",153.0,169.0,,,22975871.0,,
M.R. Palya UFWC,BBMP Urban Family Welfare Centre,276,"J. C. Nagar, Main Road, Bangalore ? 06",46.0,62.0,,,22975676.0,,
Magadi Road UFWC,BBMP Urban Family Welfare Centre,726,"2nd Cross, Near BWSSB Water Tank, Magadi Road, Bangalore ? 23",121.0,122.0,,,22975682.0,,
